NoiseFile,Filter,PSNR,SSIM,RMSE
t1_icbm_normal_1mm_pn3_rf0.nii,Gaussian,24.2031351107389,0.851437801947811,0.0616372486394886
t1_icbm_normal_1mm_pn3_rf0.nii,Median,24.1937633788421,0.788099558387357,0.0617037886871829
t1_icbm_normal_1mm_pn3_rf0.nii,Wiener,30.3896942998106,0.82189281626122,0.0302353698212852
t1_icbm_normal_1mm_pn3_rf0.nii,NLM,16.4568403268396,0.512761879584612,0.150368886473629
t1_icbm_normal_1mm_pn3_rf0.nii,Adaptive,25.338582786813,0.860683838718021,0.0540842561078203
t1_icbm_normal_1mm_pn3_rf0.nii,Bilateral,33.3303796200066,0.840500806254013,0.0215516744912043
t1_icbm_normal_1mm_pn5_rf0.nii,Gaussian,25.0255747687673,0.820374589972082,0.0560688000328649
t1_icbm_normal_1mm_pn5_rf0.nii,Median,22.203424481484,0.742804901117358,0.0775941135314104
t1_icbm_normal_1mm_pn5_rf0.nii,Wiener,30.1093271044514,0.776534500508741,0.0312272431418983
t1_icbm_normal_1mm_pn5_rf0.nii,NLM,16.9846337141466,0.486331407941481,0.14150386893046
t1_icbm_normal_1mm_pn5_rf0.nii,Adaptive,24.1460681747212,0.764686684204858,0.0620435431433608
t1_icbm_normal_1mm_pn5_rf0.nii,Bilateral,31.56322061861,0.808782147646874,0.0264142916701713
t1_icbm_normal_1mm_pn9_rf0.nii,Gaussian,25.6877563908601,0.771955393325707,0.0519531853876984
t1_icbm_normal_1mm_pn9_rf0.nii,Median,23.123265175251,0.696545340549541,0.0697969975840542
t1_icbm_normal_1mm_pn9_rf0.nii,Wiener,25.7154533936491,0.716572618175156,0.0517877842824946
t1_icbm_normal_1mm_pn9_rf0.nii,NLM,17.1138544117305,0.446485959278012,0.139414286172119
t1_icbm_normal_1mm_pn9_rf0.nii,Adaptive,26.7080113573426,0.766841479478081,0.0461954744764922
t1_icbm_normal_1mm_pn9_rf0.nii,Bilateral,28.1929835697046,0.735397052384418,0.038935954122501
